Date,Action,Shares,Share Value,Holdings,Party,Insider,Source,Avg. Cost,%Change
2024-07-31,SELL,-8,-1430,2500,"IST Investmentstiftung",No,"Aggregate MFs",178.75,-0.003200
2024-07-31,PURCHASE,52,9270,2350,"Bâloise Asset Management",No,"Aggregate MFs",178.27,0.022128
2024-07-31,PURCHASE,682,121560,1940,"Margetts Fund Management Limited",No,"Aggregate MFs",178.24,0.351546
2024-07-31,NO CHANGE,0,0,1720,"Azimut Capital Management Sgr SpA",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1500,"Les Fils Dreyfus & Cie SA, Banquiers",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1430,"CGM-AZIMUT MONACO",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1300,"Reimann Investors Advisory GmbH",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1280,"Canso Investment Counsel Ltd.",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1250,"Rothschild & Co Asset Management Europe SCS",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1110,"National Bank Trust",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1020,"Principal Vermögensverwaltung AG",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,1000,"IM Gestão de Ativos - Sociedade Gestora de Organismos de Inv",No,"Aggregate MFs",0.00,0.000000
2024-07-31,PURCHASE,30,5350,898,"OneAscent Investment Solutions LLC",No,"Aggregate MFs",178.33,0.033408
2024-07-31,PURCHASE,810,144370,810,"Nomura Asset Management (UK) Ltd.",No,"Aggregate MFs",178.23,1.000000
2024-07-31,SELL,-50,-8910,794,"Finreon AG",No,"Aggregate MFs",178.20,-0.062972
2024-07-31,NO CHANGE,0,0,700,"The Index Group, Inc.",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,625,"Euram Bank AG",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,625,"Wil Asset Management (Liechtenstein) AG",No,"Aggregate MFs",0.00,0.000000
2024-07-31,NO CHANGE,0,0,579,"Warburg Invest Kapitalanlagegesellschaft mbH",No,"Aggregate MFs",0.00,0.000000
2024-07-31,PURCHASE,190,33870,563,"Evolve Funds Group Inc",No,"Aggregate MFs",178.26,0.337478
2024-07-31,NO CHANGE,0,0,555,"Ruffer LLP",No,"Aggregate MFs",0.00,0.000000
2024-07-31,PURCHASE,2,356,428,"Natixis Alternative Investments (US) Inc.",No,"Aggregate MFs",178.00,0.004673
2024-07-31,NO CHANGE,0,0,391,"William Blair Investment Management, LLC",No,"Aggregate MFs",0.00,0.000000
2024-07-31,SELL,-115,-20500,391,"Quaestio Capital Management SGR S.p.A.",No,"Aggregate MFs",178.26,-0.294118
2024-07-31,PURCHASE,64,11410,389,"Azimut Investments S.A.",No,"Aggregate MFs",178.28,0.164524
