Ticker,Revenue Slope,Revenue R²,Net Income Slope,Net Income R²,Combined R²,Revenue-Income Correlation
GGAL,1728718725.8089435,0.3485738354262817,187138125.6305378,0.3894849550121283,0.13576426460941035,0.7564819618677211
ELV,10548904.338686632,0.9673500135160655,386666.0351420874,0.13422290885497512,0.12984053269502582,0.3521489598317436
AMZN,46323727.88087305,0.8677320348619366,2838806.373694932,0.14794032239964539,0.12837255699397523,0.45419189392346404
ITUB,4888473.616369117,0.4158921356906677,1588496.193372826,0.29608845042138787,0.12314085799909137,0.7529558946067231
CELH,240492.96954517826,0.9076845817782813,37132.9060995576,0.13160316162148644,0.11945416071709848,0.4768049416677985
TLK,3210399811.444804,0.7380702489450264,1166817217.615476,0.15473519409236902,0.11420544322431178,0.36763072483877574
AAPL,18061931.91156284,0.31332784594400304,6506536.054282327,0.3348042600581268,0.10490349761688868,0.9905192055842402
TOST,731561.74373337,0.9853114467680619,46715.26305127742,0.10538271248517048,0.10383479290310603,0.3066396755805862
PG,2173772.579990952,0.7689330547714154,1075096.5897342444,0.1235425533557852,0.09499595294612449,0.4659590034996511
APO,6863981.211505392,0.4505680878246736,1301238.8324680012,0.19997511183851788,0.09010240375360624,0.5616508214544117
RCL,1534842.338941497,0.336741798929691,881916.0050206204,0.2669634241628546,0.0898977437010298,0.9390646402110583
MUFG,624967590.3841361,0.38793593253511727,160774600.98359954,0.1972142352441538,0.07650648825864079,0.17977865762623424
E,8882085.519705258,0.35854814860019274,1923966.2450112377,0.20162073372739348,0.07229074079736937,0.8002255219263579
JKS,15479267.006522793,0.7783999907780651,274167.8018923183,0.08875151921797315,0.06908418174080957,0.5242192808980722
ET,6964477.148395871,0.5893047176793256,502111.9309653417,0.10904576334001026,0.06426118277921129,0.5161453225081254
ASAI,8854239.113005595,0.4818008287188471,-133451.1069422711,0.13022954890834437,0.06274470458772195,-0.6792410321282398
BAP,743245.9339510109,0.509585750136554,244769.21922929684,0.11736095324782779,0.05980546939753537,0.680587312522683
COR,16481252.132805109,0.9541783883215167,539163.6141700583,0.05981919259100294,0.0570781807771776,0.25888999956269954
BRFS,3257769.7861499893,0.8587675479293806,-356935.3783452477,0.06219463506573916,0.05341073424976749,-0.16915880352125298
ENPH,227897.32409368106,0.4733920877952564,30323.604787980617,0.11164374591970187,0.0528512659702108,0.8139766216220434
ENIC,456923340.8101333,0.4924075502351708,206928105.21199492,0.10370778976492022,0.05106649869844848,0.794522104482455
DIS,4236281.447950534,0.5021088848626489,792721.7694416533,0.08186586772997208,0.0411055795542094,0.7011953784935391
ABEV,4780931.521308879,0.6304835704637829,474833.61479030567,0.04120505954663229,0.02597911306413351,0.5741154907860087
SHEL,13658578.731379893,0.14847746847533821,5294953.148770275,0.15773301316851998,0.023419798490249034,0.8085974455504417
TCOM,1873937.8200629065,0.14409074047206638,1040244.3415043527,0.11937951828603423,0.01720148318703326,0.6092749835555296
C,749376.9395015183,0.11586911955110175,-1073391.2641212326,0.12975979289340894,0.015035152955692604,0.034184745798057414
SHOP,913806.3016737996,0.9648917124020613,-130512.99277317022,0.013454327513699607,0.012981969113911782,-0.07550761315889251
CL,658086.7737326373,0.9485092693386097,-40360.69075256303,0.012720735926848135,0.012065735939424126,-0.056754085665909865
F,8280454.562370382,0.454403496567095,982301.7492103124,0.026160448938564975,0.011887399469448874,0.06351333003854595
ASX,26204983.270237263,0.3249187554404329,2089985.4862119013,0.03410395273535845,0.011081013878372015,0.746169117075234
PM,-4037830.2036667396,0.06618392881736795,174516.34222796548,0.14044581479133875,0.009295255808847207,0.3084119810695839
KMB,287422.85720092803,0.680721409963728,-22776.49845318109,0.012911167737734876,0.008788908306709082,-0.0965086359571953
JNJ,1006248.4098053555,0.1353585045713536,1890151.7399468422,0.058880220171955114,0.007969938551307893,0.04891744623622321
BILL,211927.32627153528,0.9490510584191704,-5536.989138904959,0.006746055183378571,0.0064023508119395636,-0.05242416941592198
PEP,3845169.701198605,0.3421976148704439,-268167.8735413195,0.017170880989506487,0.005875834519833368,-0.10185403877021439
KKR,2559599.9156012507,0.37950037876052045,143994.320067934,0.010616167530995447,0.004028839598997911,0.5182136752609698
T,-9188878.349488705,0.5371140273771358,-896933.3100786746,0.006574450761560308,0.003531229726334334,0.32690831491703964
TEO,737784781.8364509,0.4761130328581884,-39973586.890451916,0.007005188176322627,0.0033352613883712878,-0.524318946307509
PGR,4435548.288512004,0.8827889119468146,76209.93230282054,0.003255277696578659,0.0028737230558474073,0.32243889504451106
BAC,1472571.468961722,0.2983047548170574,213676.89218365317,0.0066886976109902145,0.001995270300891874,0.391661200535625
CCJ,73220.83817241387,0.0664445887784174,16214.426458134409,0.02156958391027295,0.0014331821330396547,0.7586010133737388
CCL,770775.7006160176,0.040063713103854856,179980.10716100276,0.005043064319776386,0.00020204388207180807,0.9105292821103517
IBM,-720115.7575956841,0.008367976173043093,-314729.995198727,0.02090484119678242,0.00017493121303592494,-0.029323103024133036
IFS,138747.60518722088,0.06956355115738938,2340.591045421353,5.414285006017003e-05,3.7663689199675006e-06,0.2474813213546616
BX,102972.11611481568,0.0007420096379756018,-78551.50955801173,0.004467548473360532,3.314964025356701e-06,0.9560665028684403
IBKR,,,73341.73013136112,0.8054127020912961,,0.9769582595541522
UEC,,,1175.2721358956053,0.0123399064481657,,0.2334649045624113
VZ,537723.251063141,0.07477340276905645,,,,0.16058216977304451
